,time_period,dteday,season,yr,mnth,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
94,1,2011-01-05,1,0,1,3,1,1,0.16,0.197,0.74,0.0896,2
95,1,2011-01-05,1,0,1,3,1,1,0.24,0.2273,0.48,0.2239,2
96,1,2011-01-05,1,0,1,3,1,1,0.22,0.2273,0.47,0.1642,3
97,2,2011-01-05,1,0,1,3,1,1,0.2,0.197,0.47,0.2239,33
98,2,2011-01-05,1,0,1,3,1,1,0.18,0.1818,0.43,0.194,88
99,2,2011-01-05,1,0,1,3,1,1,0.2,0.1818,0.4,0.2985,195
100,2,2011-01-05,1,0,1,3,1,1,0.22,0.197,0.37,0.3284,115
101,2,2011-01-05,1,0,1,3,1,1,0.22,0.197,0.37,0.3284,57
102,2,2011-01-05,1,0,1,3,1,1,0.26,0.2273,0.33,0.3284,46
103,3,2011-01-05,1,0,1,3,1,1,0.26,0.2273,0.33,0.3284,79
104,3,2011-01-05,1,0,1,3,1,1,0.28,0.2576,0.3,0.2985,71
105,3,2011-01-05,1,0,1,3,1,1,0.3,0.2879,0.28,0.194,62
106,3,2011-01-05,1,0,1,3,1,1,0.3,0.2879,0.28,0.194,62
107,3,2011-01-05,1,0,1,3,1,1,0.3,0.3182,0.28,0.0896,89
108,3,2011-01-05,1,0,1,3,1,1,0.24,0.2273,0.38,0.194,190
109,4,2011-01-05,1,0,1,3,1,1,0.24,0.2424,0.38,0.1343,169
110,4,2011-01-05,1,0,1,3,1,1,0.24,0.2576,0.38,0.1045,132
111,4,2011-01-05,1,0,1,3,1,1,0.22,0.2273,0.47,0.1642,89
112,4,2011-01-05,1,0,1,3,1,1,0.2,0.197,0.51,0.194,43
113,4,2011-01-05,1,0,1,3,1,1,0.18,0.197,0.55,0.1343,42
114,4,2011-01-05,1,0,1,3,1,1,0.2,0.2576,0.47,0.0,19
115,1,2011-01-06,1,0,1,4,1,1,0.18,0.2424,0.55,0.0,11
116,1,2011-01-06,1,0,1,4,1,1,0.16,0.2273,0.64,0.0,4
117,1,2011-01-06,1,0,1,4,1,1,0.16,0.2273,0.64,0.0,2
118,1,2011-01-06,1,0,1,4,1,2,0.16,0.197,0.64,0.0896,1
119,1,2011-01-06,1,0,1,4,1,2,0.14,0.1818,0.69,0.0896,4
120,2,2011-01-06,1,0,1,4,1,2,0.14,0.1667,0.63,0.1045,36
121,2,2011-01-06,1,0,1,4,1,2,0.16,0.2273,0.59,0.0,95
122,2,2011-01-06,1,0,1,4,1,1,0.16,0.2273,0.59,0.0,219
123,2,2011-01-06,1,0,1,4,1,2,0.18,0.2424,0.51,0.0,122
124,2,2011-01-06,1,0,1,4,1,1,0.2,0.2576,0.47,0.0,45
125,2,2011-01-06,1,0,1,4,1,1,0.22,0.2576,0.44,0.0896,59
126,3,2011-01-06,1,0,1,4,1,1,0.26,0.2879,0.35,0.0,84
127,3,2011-01-06,1,0,1,4,1,1,0.26,0.2727,0.35,0.1045,67
128,3,2011-01-06,1,0,1,4,1,1,0.28,0.2727,0.36,0.1642,70
129,3,2011-01-06,1,0,1,4,1,1,0.28,0.2727,0.36,0.0,62
130,3,2011-01-06,1,0,1,4,1,1,0.26,0.2576,0.38,0.1642,86
131,3,2011-01-06,1,0,1,4,1,1,0.22,0.2273,0.51,0.1642,172
132,4,2011-01-06,1,0,1,4,1,1,0.22,0.2273,0.51,0.1343,163
133,4,2011-01-06,1,0,1,4,1,1,0.22,0.2576,0.55,0.0896,112
134,4,2011-01-06,1,0,1,4,1,1,0.2,0.2121,0.51,0.1642,69
135,4,2011-01-06,1,0,1,4,1,2,0.22,0.2121,0.55,0.2239,48
136,4,2011-01-06,1,0,1,4,1,2,0.22,0.2121,0.51,0.2836,52
137,4,2011-01-06,1,0,1,4,1,2,0.2,0.197,0.59,0.194,23
138,1,2011-01-07,1,0,1,5,1,2,0.2,0.197,0.64,0.194,17
139,1,2011-01-07,1,0,1,5,1,2,0.2,0.197,0.69,0.2239,7
140,1,2011-01-07,1,0,1,5,1,2,0.2,0.197,0.69,0.2239,1
141,1,2011-01-07,1,0,1,5,1,2,0.2,0.2121,0.69,0.1343,1
142,1,2011-01-07,1,0,1,5,1,3,0.22,0.2727,0.55,0.0,5
143,2,2011-01-07,1,0,1,5,1,2,0.2,0.2576,0.69,0.0,34
144,2,2011-01-07,1,0,1,5,1,1,0.2,0.2121,0.69,0.1343,84
145,2,2011-01-07,1,0,1,5,1,1,0.2,0.197,0.51,0.2537,210
146,2,2011-01-07,1,0,1,5,1,1,0.2,0.1818,0.47,0.2985,134
147,2,2011-01-07,1,0,1,5,1,1,0.22,0.197,0.37,0.3284,63
148,2,2011-01-07,1,0,1,5,1,2,0.2,0.197,0.4,0.2239,67
149,3,2011-01-07,1,0,1,5,1,2,0.2,0.197,0.37,0.2537,59
150,3,2011-01-07,1,0,1,5,1,2,0.2,0.1818,0.37,0.2836,73
151,3,2011-01-07,1,0,1,5,1,2,0.2,0.197,0.4,0.2537,50
152,3,2011-01-07,1,0,1,5,1,2,0.2,0.2121,0.37,0.1642,72
153,3,2011-01-07,1,0,1,5,1,2,0.2,0.2121,0.37,0.1642,87
154,3,2011-01-07,1,0,1,5,1,2,0.2,0.2576,0.37,0.0,187
155,4,2011-01-07,1,0,1,5,1,1,0.2,0.2273,0.4,0.0896,123
156,4,2011-01-07,1,0,1,5,1,1,0.16,0.197,0.55,0.0896,95
157,4,2011-01-07,1,0,1,5,1,1,0.18,0.2121,0.47,0.1045,51
158,4,2011-01-07,1,0,1,5,1,1,0.18,0.197,0.47,0.1343,39
159,4,2011-01-07,1,0,1,5,1,2,0.18,0.197,0.43,0.1642,36
160,4,2011-01-07,1,0,1,5,1,2,0.18,0.197,0.51,0.1642,15
161,1,2011-01-08,1,0,1,6,0,2,0.18,0.197,0.51,0.1642,25
162,1,2011-01-08,1,0,1,6,0,2,0.18,0.2121,0.55,0.0896,16
163,1,2011-01-08,1,0,1,6,0,2,0.18,0.2424,0.55,0.0,16
164,1,2011-01-08,1,0,1,6,0,3,0.18,0.197,0.55,0.1642,7
165,1,2011-01-08,1,0,1,6,0,3,0.18,0.197,0.55,0.1642,1
166,1,2011-01-08,1,0,1,6,0,2,0.16,0.1667,0.74,0.1642,5
167,2,2011-01-08,1,0,1,6,0,2,0.16,0.1667,0.74,0.1642,2
168,2,2011-01-08,1,0,1,6,0,2,0.16,0.1818,0.74,0.1045,9
169,2,2011-01-08,1,0,1,6,0,3,0.16,0.1818,0.93,0.1045,15
170,2,2011-01-08,1,0,1,6,0,3,0.16,0.1818,0.93,0.1045,20
171,2,2011-01-08,1,0,1,6,0,2,0.18,0.197,0.8,0.1642,61
172,2,2011-01-08,1,0,1,6,0,2,0.2,0.1818,0.69,0.3881,62
173,3,2011-01-08,1,0,1,6,0,2,0.2,0.1818,0.59,0.3582,98
174,3,2011-01-08,1,0,1,6,0,1,0.2,0.1818,0.44,0.3284,102
175,3,2011-01-08,1,0,1,6,0,1,0.2,0.1667,0.32,0.4925,95
176,3,2011-01-08,1,0,1,6,0,1,0.2,0.1667,0.32,0.4478,74
177,3,2011-01-08,1,0,1,6,0,1,0.18,0.1364,0.29,0.4478,76
178,3,2011-01-08,1,0,1,6,0,1,0.16,0.1212,0.37,0.5522,69
179,4,2011-01-08,1,0,1,6,0,1,0.14,0.1212,0.39,0.2985,55
180,4,2011-01-08,1,0,1,6,0,1,0.14,0.1212,0.36,0.2537,30
181,4,2011-01-08,1,0,1,6,0,1,0.12,0.1212,0.36,0.2537,28
182,4,2011-01-08,1,0,1,6,0,1,0.12,0.1061,0.39,0.3582,37
183,4,2011-01-08,1,0,1,6,0,1,0.12,0.1061,0.36,0.3881,34
184,4,2011-01-08,1,0,1,6,0,1,0.1,0.0606,0.39,0.4478,22
185,1,2011-01-09,1,0,1,0,0,1,0.1,0.0758,0.42,0.3881,25
186,1,2011-01-09,1,0,1,0,0,1,0.1,0.0606,0.42,0.4627,12
187,1,2011-01-09,1,0,1,0,0,1,0.1,0.0606,0.46,0.4627,11
188,1,2011-01-09,1,0,1,0,0,1,0.1,0.0758,0.46,0.4179,4
189,1,2011-01-09,1,0,1,0,0,1,0.08,0.0909,0.53,0.194,1
190,1,2011-01-09,1,0,1,0,0,1,0.08,0.0909,0.53,0.194,1
191,2,2011-01-09,1,0,1,0,0,1,0.1,0.0909,0.49,0.2836,1
192,2,2011-01-09,1,0,1,0,0,1,0.08,0.0909,0.53,0.194,6
193,2,2011-01-09,1,0,1,0,0,1,0.1,0.0909,0.49,0.2836,10
194,2,2011-01-09,1,0,1,0,0,1,0.12,0.0758,0.46,0.5224,19
195,2,2011-01-09,1,0,1,0,0,1,0.14,0.1061,0.43,0.3881,49
196,2,2011-01-09,1,0,1,0,0,1,0.16,0.1212,0.4,0.5224,49
197,3,2011-01-09,1,0,1,0,0,1,0.18,0.1364,0.37,0.4478,83
198,3,2011-01-09,1,0,1,0,0,1,0.2,0.1667,0.34,0.4478,75
199,3,2011-01-09,1,0,1,0,0,1,0.22,0.1818,0.32,0.4627,72
200,3,2011-01-09,1,0,1,0,0,1,0.22,0.197,0.35,0.3582,82
201,3,2011-01-09,1,0,1,0,0,1,0.2,0.1667,0.34,0.4478,92
202,3,2011-01-09,1,0,1,0,0,1,0.18,0.1515,0.37,0.3881,62
203,4,2011-01-09,1,0,1,0,0,1,0.16,0.1364,0.4,0.3284,48
204,4,2011-01-09,1,0,1,0,0,1,0.16,0.1364,0.43,0.3284,41
205,4,2011-01-09,1,0,1,0,0,1,0.14,0.1212,0.46,0.2537,38
206,4,2011-01-09,1,0,1,0,0,1,0.14,0.1061,0.46,0.4179,20
207,4,2011-01-09,1,0,1,0,0,1,0.14,0.1212,0.46,0.2985,15
208,4,2011-01-09,1,0,1,0,0,1,0.12,0.1364,0.5,0.194,6
209,1,2011-01-10,1,0,1,1,1,1,0.12,0.1212,0.5,0.2836,5
210,1,2011-01-10,1,0,1,1,1,1,0.12,0.1212,0.5,0.2836,1
211,1,2011-01-10,1,0,1,1,1,1,0.12,0.1212,0.5,0.2239,3
212,1,2011-01-10,1,0,1,1,1,1,0.12,0.1212,0.5,0.2239,1
213,1,2011-01-10,1,0,1,1,1,1,0.1,0.1212,0.54,0.1343,3
214,1,2011-01-10,1,0,1,1,1,1,0.1,0.1061,0.54,0.2537,3
215,2,2011-01-10,1,0,1,1,1,1,0.12,0.1212,0.5,0.2836,31
216,2,2011-01-10,1,0,1,1,1,1,0.12,0.1212,0.5,0.2239,77
217,2,2011-01-10,1,0,1,1,1,2,0.12,0.1212,0.5,0.2836,188
218,2,2011-01-10,1,0,1,1,1,2,0.14,0.1212,0.5,0.2537,94
219,2,2011-01-10,1,0,1,1,1,2,0.14,0.1212,0.5,0.2985,31
220,2,2011-01-10,1,0,1,1,1,2,0.16,0.1364,0.47,0.2836,30
221,3,2011-01-10,1,0,1,1,1,2,0.2,0.1818,0.4,0.2836,52
222,3,2011-01-10,1,0,1,1,1,2,0.2,0.1818,0.4,0.2836,54
223,3,2011-01-10,1,0,1,1,1,2,0.2,0.197,0.4,0.2239,47
224,3,2011-01-10,1,0,1,1,1,2,0.2,0.197,0.4,0.2239,45
225,3,2011-01-10,1,0,1,1,1,1,0.2,0.2121,0.4,0.1343,74
226,3,2011-01-10,1,0,1,1,1,1,0.2,0.2273,0.4,0.1045,178
227,4,2011-01-10,1,0,1,1,1,1,0.2,0.197,0.4,0.2239,155
228,4,2011-01-10,1,0,1,1,1,1,0.16,0.1667,0.47,0.1642,95
229,4,2011-01-10,1,0,1,1,1,1,0.16,0.1667,0.5,0.1642,74
230,4,2011-01-10,1,0,1,1,1,1,0.14,0.1364,0.59,0.194,38
231,4,2011-01-10,1,0,1,1,1,1,0.14,0.1515,0.59,0.1642,24
232,4,2011-01-10,1,0,1,1,1,1,0.14,0.1515,0.59,0.1642,18
233,1,2011-01-11,1,0,1,2,1,1,0.14,0.1667,0.59,0.1045,12
234,1,2011-01-11,1,0,1,2,1,1,0.14,0.1515,0.59,0.1642,3
235,1,2011-01-11,1,0,1,2,1,2,0.16,0.1515,0.55,0.194,3
236,1,2011-01-11,1,0,1,2,1,2,0.16,0.1818,0.55,0.1343,6
237,2,2011-01-11,1,0,1,2,1,2,0.16,0.1818,0.55,0.1343,27
238,2,2011-01-11,1,0,1,2,1,2,0.16,0.2273,0.55,0.0,99
239,2,2011-01-11,1,0,1,2,1,2,0.18,0.2121,0.51,0.0896,217
240,2,2011-01-11,1,0,1,2,1,2,0.18,0.197,0.51,0.1642,130
241,2,2011-01-11,1,0,1,2,1,2,0.2,0.2121,0.51,0.1642,54
242,2,2011-01-11,1,0,1,2,1,2,0.2,0.2121,0.47,0.1343,35
243,3,2011-01-11,1,0,1,2,1,2,0.2,0.2273,0.51,0.1045,57
244,3,2011-01-11,1,0,1,2,1,2,0.2,0.2273,0.59,0.0896,52
245,3,2011-01-11,1,0,1,2,1,2,0.2,0.2273,0.59,0.0896,63
246,3,2011-01-11,1,0,1,2,1,2,0.16,0.197,0.8,0.0896,47
247,3,2011-01-11,1,0,1,2,1,2,0.16,0.1515,0.86,0.2239,76
248,3,2011-01-11,1,0,1,2,1,2,0.16,0.1515,0.86,0.2239,136
249,4,2011-01-11,1,0,1,2,1,3,0.16,0.1818,0.93,0.1045,95
250,4,2011-01-11,1,0,1,2,1,3,0.16,0.2273,0.93,0.0,51
251,4,2011-01-11,1,0,1,2,1,3,0.16,0.1515,0.93,0.194,32
252,4,2011-01-11,1,0,1,2,1,3,0.16,0.197,0.86,0.0896,20
253,4,2011-01-11,1,0,1,2,1,3,0.16,0.1818,0.93,0.1045,29
254,4,2011-01-11,1,0,1,2,1,3,0.16,0.197,0.93,0.0896,19
255,1,2011-01-12,1,0,1,3,1,2,0.16,0.197,0.86,0.0896,7
256,1,2011-01-12,1,0,1,3,1,2,0.16,0.1818,0.86,0.1045,6
257,1,2011-01-12,1,0,1,3,1,1,0.14,0.1515,0.86,0.1343,1
258,1,2011-01-12,1,0,1,3,1,1,0.14,0.1515,0.86,0.1642,5
259,2,2011-01-12,1,0,1,3,1,1,0.12,0.1515,0.93,0.1343,16
260,2,2011-01-12,1,0,1,3,1,1,0.14,0.1515,0.69,0.1343,54
261,2,2011-01-12,1,0,1,3,1,1,0.16,0.1667,0.59,0.1642,128
262,2,2011-01-12,1,0,1,3,1,1,0.16,0.1364,0.59,0.3284,81
263,2,2011-01-12,1,0,1,3,1,1,0.18,0.1818,0.55,0.2239,39
264,2,2011-01-12,1,0,1,3,1,1,0.2,0.1818,0.51,0.3881,35
265,3,2011-01-12,1,0,1,3,1,1,0.2,0.1515,0.47,0.5821,55
266,3,2011-01-12,1,0,1,3,1,1,0.22,0.197,0.44,0.3582,49
267,3,2011-01-12,1,0,1,3,1,1,0.2,0.1818,0.47,0.3284,44
268,3,2011-01-12,1,0,1,3,1,1,0.2,0.1667,0.47,0.4179,49
269,3,2011-01-12,1,0,1,3,1,1,0.22,0.197,0.44,0.3284,68
270,3,2011-01-12,1,0,1,3,1,1,0.2,0.1818,0.47,0.3582,139
271,4,2011-01-12,1,0,1,3,1,1,0.2,0.1515,0.47,0.5224,137
272,4,2011-01-12,1,0,1,3,1,1,0.18,0.1515,0.47,0.4179,83
273,4,2011-01-12,1,0,1,3,1,1,0.16,0.1364,0.5,0.3284,56
274,4,2011-01-12,1,0,1,3,1,1,0.16,0.1364,0.55,0.3284,57
275,4,2011-01-12,1,0,1,3,1,1,0.16,0.1212,0.55,0.4478,33
276,4,2011-01-12,1,0,1,3,1,1,0.14,0.1061,0.59,0.4179,20
277,1,2011-01-13,1,0,1,4,1,1,0.14,0.1212,0.59,0.2836,7
278,1,2011-01-13,1,0,1,4,1,1,0.14,0.1212,0.5,0.2836,2
279,1,2011-01-13,1,0,1,4,1,1,0.14,0.1212,0.5,0.3582,2
280,1,2011-01-13,1,0,1,4,1,1,0.14,0.1212,0.5,0.3284,3
281,1,2011-01-13,1,0,1,4,1,1,0.14,0.1212,0.5,0.2537,4
282,1,2011-01-13,1,0,1,4,1,1,0.14,0.1212,0.5,0.2985,3
283,2,2011-01-13,1,0,1,4,1,1,0.12,0.1515,0.54,0.1343,28
284,2,2011-01-13,1,0,1,4,1,1,0.12,0.1515,0.54,0.1343,72
285,2,2011-01-13,1,0,1,4,1,1,0.14,0.1364,0.5,0.194,202
286,2,2011-01-13,1,0,1,4,1,1,0.14,0.1212,0.5,0.3284,139
287,2,2011-01-13,1,0,1,4,1,2,0.16,0.1364,0.5,0.3582,38
288,2,2011-01-13,1,0,1,4,1,2,0.2,0.1667,0.44,0.4478,37
289,3,2011-01-13,1,0,1,4,1,1,0.2,0.1667,0.44,0.4179,52
290,3,2011-01-13,1,0,1,4,1,1,0.22,0.197,0.41,0.4478,83
291,3,2011-01-13,1,0,1,4,1,1,0.22,0.197,0.41,0.3881,42
292,3,2011-01-13,1,0,1,4,1,1,0.24,0.2121,0.38,0.2985,60
293,3,2011-01-13,1,0,1,4,1,1,0.24,0.2121,0.38,0.3582,78
294,3,2011-01-13,1,0,1,4,1,1,0.2,0.1818,0.4,0.2836,162
295,4,2011-01-13,1,0,1,4,1,1,0.2,0.1818,0.4,0.3284,144
296,4,2011-01-13,1,0,1,4,1,1,0.16,0.1515,0.47,0.2537,99
297,4,2011-01-13,1,0,1,4,1,1,0.16,0.1515,0.47,0.2239,64
298,4,2011-01-13,1,0,1,4,1,1,0.14,0.1212,0.46,0.2985,40
299,4,2011-01-13,1,0,1,4,1,1,0.14,0.1212,0.46,0.3284,30
300,4,2011-01-13,1,0,1,4,1,1,0.12,0.1364,0.5,0.194,15
301,1,2011-01-14,1,0,1,5,1,1,0.12,0.1364,0.5,0.194,14
302,1,2011-01-14,1,0,1,5,1,1,0.1,0.1212,0.54,0.1642,5
303,1,2011-01-14,1,0,1,5,1,1,0.1,0.1212,0.54,0.1343,1
304,1,2011-01-14,1,0,1,5,1,1,0.1,0.1364,0.54,0.1045,1
305,1,2011-01-14,1,0,1,5,1,1,0.1,0.1364,0.54,0.0896,8
306,2,2011-01-14,1,0,1,5,1,1,0.1,0.1818,0.54,0.0,17
307,2,2011-01-14,1,0,1,5,1,1,0.1,0.1212,0.74,0.1642,70
308,2,2011-01-14,1,0,1,5,1,1,0.12,0.1667,0.68,0.0,158
309,2,2011-01-14,1,0,1,5,1,1,0.14,0.1515,0.69,0.1343,117
310,2,2011-01-14,1,0,1,5,1,1,0.18,0.1818,0.55,0.194,44
311,2,2011-01-14,1,0,1,5,1,1,0.18,0.1667,0.51,0.2836,53
312,3,2011-01-14,1,0,1,5,1,1,0.2,0.197,0.44,0.2537,61
313,3,2011-01-14,1,0,1,5,1,1,0.22,0.197,0.37,0.3881,77
314,3,2011-01-14,1,0,1,5,1,1,0.22,0.2121,0.41,0.2836,64
315,3,2011-01-14,1,0,1,5,1,1,0.24,0.2424,0.38,0.1642,68
316,3,2011-01-14,1,0,1,5,1,1,0.22,0.2424,0.41,0.1045,90
317,3,2011-01-14,1,0,1,5,1,1,0.22,0.2273,0.41,0.1642,159
318,4,2011-01-14,1,0,1,5,1,1,0.2,0.2576,0.47,0.0,139
319,4,2011-01-14,1,0,1,5,1,1,0.16,0.197,0.59,0.0896,92
320,4,2011-01-14,1,0,1,5,1,1,0.18,0.2424,0.59,0.0,68
321,4,2011-01-14,1,0,1,5,1,1,0.16,0.2273,0.69,0.0,52
322,4,2011-01-14,1,0,1,5,1,2,0.16,0.2273,0.69,0.0,36
323,4,2011-01-14,1,0,1,5,1,2,0.18,0.2424,0.55,0.0,27
324,1,2011-01-15,1,0,1,6,0,1,0.18,0.2424,0.55,0.0,28
